# tos_view packet template -- GENERATED by name_fields.py, do not edit.
# Names are guesses unless the origin column says otherwise; see
# docs/14-field-names.md for what each origin is worth.
#
# P<TAB>opcode<TAB>name<TAB>size<TAB>coverage
# F<TAB>offset<TAB>type<TAB>bytes<TAB>name<TAB>fmt<TAB>origin<TAB>note
P	8	BC_COMMANDER_CREATE_SLOTID	11	exact
F	60	bytes[12]	12	f_3C			no samples
F	72	bytes[12]	12	f_48			no samples
F	84	u8	1	f_54			no samples
F	85	u32	4	f_55			no samples
P	3137	ZC_SKILL_HIT_INFO	0	variable
F	12	u32	4	handle	hex	census	15 samples
F	16	u8	1	f_10			15 samples
F	17	u32	4	f_11			15 samples
P	3138	ZC_BUFF_LIST	0	variable
F	12	u32	4	handle	hex	ida:sub_140AC71B0	186 samples
F	16	u8	1	f_10			186 samples
F	17	u32	4	f_11			11 samples
P	3139	ZC_BUFF_ADD	0	variable
F	12	u32	4	handle	hex	ida:sub_140AC71B0	107 samples
F	16	u32	4	f_10			107 samples
F	20	u32	4	f_14			107 samples
P	3140	ZC_BUFF_UPDATE	0	variable
F	12	u32	4	handle	hex	ida:sub_140AC71B0	24 samples
F	16	u32	4	f_10			24 samples
F	20	u32	4	f_14			24 samples
P	3141	ZC_BUFF_REMOVE	24	exact
F	10	u32	4	handle	hex	ida:sub_140AC71B0	37 samples
F	14	u32	4	f_0E			37 samples
F	18	u8	1	zero		bytes	37 samples
F	19	u32	4	f_13			37 samples
F	23	u8	1	zero		bytes	37 samples
P	3142	ZC_BUFF_CLEAR	15	exact
F	10	u32	4	handle	hex	ida:sub_140AC71B0	60 samples
F	14	u8	1	flag	bool	bytes	60 samples
P	3145	ZC_ROTATE	28	partial
F	10	u32	4	handle	hex	docs/02	
F	14	f32[2]	8	dir		docs/02	
F	22	u8	1	one	bool	docs/02	
F	23	u8	1	flag	bool	bytes	2319 samples
P	3147	ZC_HEAD_ROTATE	23	exact
F	10	u32	4	handle	hex	ida:sub_140AD5920	1 samples
F	14	f32[2]	8	dir		bytes	1 samples
F	22	u8	1	zero		bytes	1 samples
P	3150	ZC_POSE	39	partial
F	10	u32	4	handle	hex	ida:sub_140AC71B0	no samples
F	14	u32	4	f_0E			no samples
F	38	u8	1	f_26			no samples
P	3151	ZC_DEAD	0	variable
F	12	u32	4	handle	hex	ida:sub_140AC71B0	61 samples
F	16	u8	1	zero		bytes	61 samples
F	17	u8	1	flag	bool	bytes	61 samples
F	18	u8	1	flag	bool	bytes	61 samples
F	19	u8	1	zero		bytes	61 samples
F	20	bytes[12]	12	f_14			61 samples
F	32	u32	4	zero		bytes	61 samples
F	36	u32	4	handle	hex	census	59 samples
P	3152	ZC_RESURRECT	22	exact
F	10	u32	4	handle	hex	ida:sub_140AD7290	no samples
F	14	u32	4	f_0E			no samples
F	18	u32	4	f_12			no samples
P	3153	ZC_CHANGE_RELATION	15	exact
F	10	u32	4	handle	hex	ida:sub_140AC71B0	no samples
F	14	u8	1	f_0E			no samples
P	3154	ZC_RESURRECT_DIALOG	527	exact
F	10	u32	4	f_0A			no samples
F	14	bytes[512]	512	f_0E			no samples
F	526	u8	1	f_20E			no samples
P	3158	ZC_CAUTION_DAMAGE_INFO	19	exact
F	10	bytes[5]	5	f_0A			no samples
F	15	u32	4	f_0F			no samples
P	3160	ZC_KNOCKBACK_INFO	74	exact
F	10	u32	4	f_0A			no samples
F	14	bytes[60]	60	f_0E			no samples
P	3161	ZC_KNOCKDOWN_INFO	75	exact
F	10	u32	4	f_0A			no samples
F	14	bytes[60]	60	f_0E			no samples
F	74	u8	1	f_4A			no samples
P	3163	ZC_RESURRECT_SAVE_POINT_ACK	11	exact
F	10	u8	1	f_0A			no samples
P	3164	ZC_RESURRECT_HERE_ACK	11	exact
F	10	u8	1	f_0A			no samples
P	3166	CZ_KEYBOARD_MOVE	73	none
F	22	f32[3]	12	pos		docs/02	
F	34	f32[2]	8	dir		docs/02	
F	42	f32	4	client_speed		docs/02	dropped by the zone
F	72	u8	1	moving	bool	docs/02	
P	3168	CZ_JUMP	71	none
F	23	f32[3]	12	pos		docs/02	
